country_name,Power Index Score,Aircraft Carriers_per_capita,Attack Aircraft_per_capita,Attack Helicopters_per_capita,Fighter Aircraft_per_capita,Helicopter Carriers_per_capita,Helicopters_per_capita,Special Mission Aircraft_per_capita,Tanker Aircraft_per_capita,Tanks_per_capita,Total Aircraft_per_capita,Trainer Aircraft_per_capita,Transport Aircraft_per_capita,Equipment_Total,Personnel_Total,Military_Spending_per_Capita
Greece,1.9644116396739773,0.0,5.3340511678895476e-05,2.772177130265177e-06,5.3340511678895476e-05,0.0,5.3340511678895476e-05,7.647385186938419e-07,0.0,5.3340511678895476e-05,5.3340511678895476e-05,5.3340511678895476e-05,5.3340511678895476e-05,3953.0,36405035.0,621.3500464387465
North Korea,2.481723609059686,0.0,3.273930195777604e-05,7.60494818995959e-07,3.273930195777604e-05,0.0,3.273930195777604e-05,0.0,0.0,3.273930195777604e-05,3.273930195777604e-05,3.273930195777604e-05,3.273930195777604e-05,6060.0,188000071.0,180.08517313824308
Singapore,1.3137151420720867,0.0,3.8152363953646534e-05,2.9858371789810334e-06,3.8152363953646534e-05,0.0,3.8152363953646534e-05,1.4929185894905167e-06,1.8246782760439649e-06,3.8152363953646534e-05,3.8152363953646534e-05,3.8152363953646534e-05,3.8152363953646534e-05,1654.0,30350050.0,2488.1976491508613
Mexico,2.4212623846582115,0.0,3.311918605309313e-06,0.0,3.311918605309313e-06,0.0,3.311918605309313e-06,1.912193190132398e-07,0.0,3.311918605309313e-06,3.311918605309313e-06,3.311918605309313e-06,3.311918605309313e-06,3056.0,51065504.0,58.13067298002489
Netherlands,1.1508108189355337,0.0,6.752050471127135e-06,6.752050471127135e-07,6.752050471127135e-06,0.0,6.752050471127135e-06,0.0,0.0,6.752050471127135e-06,6.752050471127135e-06,6.752050471127135e-06,6.752050471127135e-06,855.0,4814502.0,1519.2113560036053
Philippines,1.5597680548187236,0.0,1.707854364731272e-06,1.6909449155755168e-08,1.707854364731272e-06,0.0,1.707854364731272e-06,6.763779662302067e-08,0.0,1.707854364731272e-06,1.707854364731272e-06,1.707854364731272e-06,1.707854364731272e-06,1424.0,135000011.0,37.031693651103815
South Africa,1.2117185187987825,0.0,3.0111189039897787e-06,1.6544609362581203e-07,3.0111189039897787e-06,0.0,3.0111189039897787e-06,0.0,0.0,3.0111189039897787e-06,3.0111189039897787e-06,3.0111189039897787e-06,3.0111189039897787e-06,1287.0,10058501.0,37.50332050309907
Iraq,1.8786260163470432,0.0,9.29106622161113e-06,9.2673039039088e-07,9.29106622161113e-06,0.0,9.29106622161113e-06,4.039594009396143e-07,0.0,9.29106622161113e-06,9.29106622161113e-06,9.29106622161113e-06,9.29106622161113e-06,2793.0,19300005.0,188.2688431555626
United Arab Emirates,1.853921490981261,0.0,5.492307081966154e-05,2.9903668322864722e-06,5.492307081966154e-05,0.0,5.492307081966154e-05,2.691330149057825e-06,3.987155776381963e-07,5.492307081966154e-05,5.492307081966154e-05,5.492307081966154e-05,5.492307081966154e-05,3918.0,19500019.0,220.52563691324767
Sweden,1.465794148105992,0.0,1.5958698510534064e-05,0.0,1.5958698510534064e-05,0.0,1.5958698510534064e-05,4.7215084350692496e-07,9.443016870138499e-08,1.5958698510534064e-05,1.5958698510534064e-05,1.5958698510534064e-05,1.5958698510534064e-05,1193.0,5730005.0,1227.5921931180048
Switzerland,0.7457186317306082,,1.6477485941939433e-05,0.0,1.6477485941939433e-05,,1.6477485941939433e-05,3.3857847825902944e-07,0.0,1.6477485941939433e-05,1.6477485941939433e-05,1.6477485941939433e-05,1.6477485941939433e-05,1025.0,15129917.0,2825.8888390426127
Romania,0.8815463410637107,0.0,7.71428237667783e-06,0.0,7.71428237667783e-06,0.0,7.71428237667783e-06,1.1020403395254042e-07,0.0,7.71428237667783e-06,7.71428237667783e-06,7.71428237667783e-06,7.71428237667783e-06,982.0,13630007.0,534.489564669821
Norway,1.5150482658949727,0.0,1.7605205623356773e-05,0.0,1.7605205623356773e-05,0.0,1.7605205623356773e-05,9.074848259462254e-07,0.0,1.7605205623356773e-05,1.7605205623356773e-05,1.7605205623356773e-05,1.7605205623356773e-05,690.0,2325004.0,1762.3355319875695
Czechia,0.3712269380720838,,9.134618534177913e-06,3.6907549633042076e-07,9.134618534177913e-06,,9.134618534177913e-06,1.8453774816521038e-07,0.0,9.134618534177913e-06,9.134618534177913e-06,9.134618534177913e-06,9.134618534177913e-06,699.0,3220003.0,622.814900057585
Portugal,0.896643353499342,0.0,1.0808548001278604e-05,0.0,1.0808548001278604e-05,0.0,1.0808548001278604e-05,1.315823234938265e-06,2.8196212177248535e-07,1.0808548001278604e-05,1.0808548001278604e-05,1.0808548001278604e-05,1.0808548001278604e-05,824.0,23570022.0,434.87957914709654
Bangladesh,1.7407014685490567,0.0,1.2685451745979044e-06,0.0,1.2685451745979044e-06,0.0,1.2685451745979044e-06,2.3711124758839337e-08,0.0,1.2685451745979044e-06,1.2685451745979044e-06,1.2685451745979044e-06,1.2685451745979044e-06,1504.0,16300001.0,25.928114923790815
Malaysia,1.3480377311588583,0.0,3.905706297656307e-06,0.0,3.905706297656307e-06,0.0,3.905706297656307e-06,1.7358694656250253e-07,1.1572463104166837e-07,3.905706297656307e-06,3.905706297656307e-06,3.905706297656307e-06,3.905706297656307e-06,957.0,16460004.0,138.86955725000203
Finland,2.4165852507593377,0.0,2.8970490090048458e-05,0.0,2.8970490090048458e-05,0.0,2.8970490090048458e-05,1.777330680371071e-07,0.0,2.8970490090048458e-05,2.8970490090048458e-05,2.8970490090048458e-05,2.8970490090048458e-05,1142.0,872400159.0,1204.9699497815216
Myanmar,1.6190827172262863,0.0,5.510442549377563e-06,1.5644789572365322e-07,5.510442549377563e-06,0.0,5.510442549377563e-06,8.691549762425179e-08,0.0,5.510442549377563e-06,5.510442549377563e-06,5.510442549377563e-06,5.510442549377563e-06,2236.0,17000003.0,51.24537739925886
Belgium,0.5540367588642943,0.0,9.016805070450051e-06,0.0,9.016805070450051e-06,0.0,9.016805070450051e-06,0.0,0.0,9.016805070450051e-06,9.016805070450051e-06,9.016805070450051e-06,9.016805070450051e-06,756.0,3140003.0,851.5871455425048
Morocco,1.0241233569468489,0.0,6.954179924855272e-06,0.0,6.954179924855272e-06,0.0,6.954179924855272e-06,1.0698738345931186e-07,5.349369172965593e-08,6.954179924855272e-06,6.954179924855272e-06,6.954179924855272e-06,6.954179924855272e-06,1826.0,34580009.0,358.4077345886948
Colombia,2.037321717700158,0.0,8.792386309706e-06,0.0,8.792386309706e-06,0.0,8.792386309706e-06,4.638185438606376e-07,2.0166023646114678e-08,8.792386309706e-06,8.792386309706e-06,8.792386309706e-06,8.792386309706e-06,3080.0,32820007.0,212.5801382655179
Peru,1.4494097449844683,0.0,7.852700516100336e-06,4.90793782256271e-07,7.852700516100336e-06,0.0,7.852700516100336e-06,3.6809533669220326e-07,0.0,7.852700516100336e-06,7.852700516100336e-06,7.852700516100336e-06,7.852700516100336e-06,1824.0,50500016.0,104.90717095727794
Denmark,0.8258133475865854,0.0,1.9587697385812514e-05,0.0,1.9587697385812514e-05,0.0,1.9587697385812514e-05,5.022486509182696e-07,0.0,1.9587697385812514e-05,1.9587697385812514e-05,1.9587697385812514e-05,1.9587697385812514e-05,822.0,3200005.0,1209.6602254393295
Ethiopia,0.8672197284596265,,8.688295252633652e-07,5.904666676547142e-08,8.688295252633652e-07,,8.688295252633652e-07,0.0,0.0,8.688295252633652e-07,8.688295252633652e-07,8.688295252633652e-07,8.688295252633652e-07,728.0,16200001.0,17.693544577226245
Chile,1.510700100927563,0.0,1.4840886674935773e-05,0.0,1.4840886674935773e-05,0.0,1.4840886674935773e-05,1.125121372468055e-06,2.678860410638226e-07,1.4840886674935773e-05,1.4840886674935773e-05,1.4840886674935773e-05,1.4840886674935773e-05,1969.0,12000006.0,269.62730033073746
