Country,Active Personnel,Aircraft Carriers,Airports,Armored Vehicles,Attack Aircraft,Attack Helicopters,Available Manpower,Coastline (km),Corvettes,Defense Budget (USD),Destroyers,External Debt (USD),Fighter Aircraft,Fit for Service,Foreign Exchange Reserves (USD),Frigates,Helicopter Carriers,Helicopters,Labor Force,Land Area (sq km),Merchant Marine Fleet,Mine Warfare,Natural Gas Production,Oil Consumption (bbl/day),Oil Production (bbl/day),Ports,Proven Oil Reserves (bbl),Purchasing Power Parity (USD),Railway Coverage (km),Reserve Personnel,Roadway Coverage (km),Rocket Projectors,Self-Propelled Artillery,Shared Borders (km),Special Mission Aircraft,Submarines,Tanker Aircraft,Tanks,Total Aircraft,Total Naval Assets,Total Population,Towed Artillery,Trainer Aircraft,Transport Aircraft,Waterways (km)
Norway,2325004,0,145,97,97,0,2203893400,25148,6,9710000000,0,716144000000,97,1807192328,80459000000,4,0,97,3009000,323802,1720,5,123727000000,229000,2020000,141,8122200000,499528000000,3848,000,94902,97,42,2566,5,6,0,97,97,43,5509733,0,97,97,1577
Czechia,2800003,,243,99,99,4,5093808470,,,6750000000,,211200000000,99,4129236381,148379000000,,,99,5502000,78867,0,,224725000,211000,4000,0,15000000,519007000000,9548,420000,55744,99,50,2046,2,,0,99,99,,10837890,0,99,99,664
Portugal,2400002,0,136,115,115,0,5319863500,1793,2,4627000000,0,399395000000,115,4096295385,53710000000,5,0,115,5140900,92090,996,0,0,191000,12932,18,22440000,529901000000,3622,21170020,136635,115,24,1224,14,2,3,115,115,194,10639726,115,115,115,764
Bangladesh,16300001,0,17,214,214,0,82661620490,580,6,4374000000,0,51965000000,214,66129296392,21860000000,7,0,214,74914000,148460,558,5,24620000000,160000,13000,2,28000000,1413000000000,2460,000,369105,214,56,4413,4,2,0,214,214,118,168697184,546,214,214,8370
Malaysia,11300003,0,102,135,135,0,16245461470,4675,6,4800000000,0,247500000000,135,13480276390,113438000000,2,0,135,17308000,329847,1750,4,75456000000,717000,582000,35,3600000000,1152000000000,1851,5160001,144403,135,0,2742,6,2,4,135,135,100,34564810,196,135,135,7200
Finland,2400004,0,98,163,163,0,2306830410,1250,0,6779661000,0,660000000000,163,1912981340,16929000000,0,0,163,2880000,338145,282,18,0,175000,8000,37,0,321126000000,5918,870000155,454000,163,107,2563,1,0,0,163,163,264,5626414,667,163,163,8000
Myanmar,15000003,0,73,317,317,9,30489384530,1930,3,2948000000,0,7253400000,317,21975367382,8590400000,6,0,317,22884000,676578,101,2,16780000000,148000,7000,7,139000000,290507000000,5031,2000000,157000,317,95,6522,5,3,0,317,317,232,57527139,210,317,317,12800
Belgium,2500002,0,49,108,108,0,4910830410,67,0,10200000000,0,1449264300000,108,3880753324,40813000000,2,0,108,5432000,30528,198,5,13436000,585000,11000,7,0,751592000000,3602,640001,118414,108,0,1297,0,0,0,108,108,9,11977634,0,108,108,2043
Morocco,19580005,0,49,260,260,0,17946041480,1835,1,13400000000,0,45645000000,260,15254135408,36328000000,6,0,260,12284000,715550,94,0,82595000,318000,25,12,684000,337480000000,2067,15000004,57300,260,396,2363,4,0,2,260,260,111,37387585,153,260,260,0
Colombia,29320006,0,662,436,436,0,24298295490,3208,2,10541500000,0,116779500000,436,19190694387,59041000000,7,0,436,26003000,1138910,153,0,11290000000,320000,800000,14,2036000000,978024000000,2141,3500001,205379,436,6,6672,23,4,1,436,436,233,49588357,110,436,436,24725
