Country Name,Active Personnel,Aircraft Carriers,Airports,Armored Vehicles,Attack Aircraft,Attack Helicopters,Available Manpower,Coastline (km),Corvettes,Defense Budget (USD),Destroyers,External Debt (USD),Fighter Aircraft,Fit for Service,Foreign Exchange Reserves (USD),Frigates,Helicopter Carriers,Helicopters,Labor Force,Land Area (sq km),Merchant Marine Fleet,Mine Warfare,Natural Gas Production,Oil Consumption (bbl/day),Oil Production (bbl/day),Ports,Proven Oil Reserves (bbl),Purchasing Power Parity (USD),Railway Coverage (km),Reserve Personnel,Roadway Coverage (km),Rocket Projectors,Self-Propelled Artillery,Shared Borders (km),Special Mission Aircraft,Submarines,Tanker Aircraft,Tanks,Total Aircraft,Total Naval Assets,Total Population,Towed Artillery,Trainer Aircraft,Transport Aircraft,Waterways (km),Power Index Score,Aircraft Carriers_per_capita,Attack Aircraft_per_capita,Attack Helicopters_per_capita,Fighter Aircraft_per_capita,Helicopter Carriers_per_capita,Helicopters_per_capita,Special Mission Aircraft_per_capita,Tanker Aircraft_per_capita,Tanks_per_capita,Total Aircraft_per_capita,Trainer Aircraft_per_capita,Transport Aircraft_per_capita,Equipment_Total,Personnel_Total,Military_Spending_per_Capita,Region,ISO Code,Latitude,Longitude,Power Tier
Poland,20210005.0,0.0,288.0,479.0,479,29,18985692490.0,440.0,2.0,48700000000.0,0.0,386947000000.0,479,15576017402.0,193783000000.0,2.0,0.0,479,18387000.0,312685.0,152.0,26.0,5551000000.0,722000.0,24000.0,10.0,113000000.0,1616000000000.0,19461.0,35000009.0,420000.0,479.0,677,2845.0,11,1.0,0,479,479,62.0,38746310.0,0,479,479,3997.0,2.0339810086089574,0.0,1.236246722946089e-05,7.484583500091144e-07,1.236246722946089e-05,0.0,1.236246722946089e-05,2.838979948310434e-07,0.0,1.236246722946089e-05,1.236246722946089e-05,1.236246722946089e-05,1.236246722946089e-05,3394.0,55210014.0,1256.8938498428922,Other,OTH,0.0,0.0,Regional Power
Saudi Arabia,25700007.0,0.0,86.0,917.0,917,34,19003104520.0,2640.0,9.0,74760000000.0,0.0,225610000000.0,917,17468238478.0,457949000000.0,7.0,0.0,917,16934000.0,2149690.0,433.0,3.0,121870000000.0,3649000.0,11113000.0,16.0,258600000000.0,1831000000000.0,5410.0,0.0,221372.0,917.0,332,4272.0,16,0.0,22,917,917,32.0,36544431.0,467,917,917,0.0,3.844664952753601,0.0,2.509274189841013e-05,9.303742906716952e-07,2.509274189841013e-05,0.0,2.509274189841013e-05,4.378231956102095e-07,6.020068939640381e-07,2.509274189841013e-05,2.509274189841013e-05,2.509274189841013e-05,2.509274189841013e-05,6491.0,25700007.0,2045.728881488704,Middle East,SAU,23.8859,45.0792,Regional Power
Taiwan,21500009.0,0.0,53.0,761.0,761,91,12269542520.0,1566.0,7.0,19740000000.0,4.0,209000000000.0,761,106178745.0,492635000000.0,22.0,0.0,761,11498000.0,35980.0,465.0,14.0,63747000.0,1022000.0,800.0,8.0,2380000.0,1257300000000.0,1613.0,231000098.0,43206.0,761.0,488,,18,4.0,0,761,761,97.0,23595274.0,1360,761,761,0.0,2.7245720089141345,0.0,3.2252219988959655e-05,3.856704361360484e-06,3.2252219988959655e-05,0.0,3.2252219988959655e-05,7.628645989504254e-07,0.0,3.2252219988959655e-05,3.2252219988959655e-05,3.2252219988959655e-05,3.2252219988959655e-05,5440.0,252500107.0,836.6081768489665,Other,OTH,0.0,0.0,Regional Power
Vietnam,60000006.0,0.0,42.0,246.0,246,0,54994667520.0,3444.0,16.0,8594000000.0,0.0,110000000000.0,246,45053323426.0,97955500000.0,9.0,0.0,246,56149000.0,331210.0,1973.0,8.0,7676000000.0,494000.0,187000.0,16.0,4400000000.0,1354000000000.0,2600.0,500000047.0,195468.0,246.0,40,4616.0,3,9.0,0,246,246,110.0,105758975.0,535,246,246,47130.0,3.303767248757707,0.0,2.3260437014821323e-06,0.0,2.3260437014821323e-06,0.0,2.3260437014821323e-06,2.8366386603440643e-08,0.0,2.3260437014821323e-06,2.3260437014821323e-06,2.3260437014821323e-06,2.3260437014821323e-06,1734.0,560000053.0,81.26024215665628,Other,OTH,0.0,0.0,Regional Power
Thailand,36085005.0,0.0,108.0,493.0,493,7,36358919520.0,3219.0,6.0,5887883500.0,0.0,102694000000.0,493,27968399400.0,224470000000.0,7.0,1.0,493,40814000.0,513120.0,884.0,5.0,30797000000.0,1248000.0,386000.0,21.0,252750000.0,1516000000000.0,4127.0,20000003.0,180053.0,493.0,50,5673.0,26,0.0,0,493,493,293.0,69920998.0,589,493,493,4000.0,2.3984784317369185,0.0,7.050814591479164e-06,1.0011298608591105e-07,7.050814591479164e-06,1.4301855155130148e-08,7.050814591479164e-06,3.718482340333839e-07,0.0,7.050814591479164e-06,7.050814591479164e-06,7.050814591479164e-06,7.050814591479164e-06,3485.0,56085008.0,84.20765698728074,Other,OTH,0.0,0.0,Regional Power
Algeria,32500007.0,0.0,85.0,608.0,608,74,22570787480.0,998.0,8.0,25000000000.0,0.0,3335624000.0,608,19185169408.0,81217000000.0,8.0,0.0,608,13425000.0,2381740.0,119.0,2.0,100726000000.0,428000.0,1443000.0,17.0,12200000000.0,699947000000.0,4020.0,13500003.0,104000.0,608.0,224,6734.0,10,6.0,5,608,608,110.0,47022473.0,483,608,608,0.0,2.2517908358080345,0.0,1.2929987477902588e-05,1.5737155811920911e-06,1.2929987477902588e-05,0.0,1.2929987477902588e-05,2.1266426772866099e-07,1.0633213386433049e-07,1.2929987477902588e-05,1.2929987477902588e-05,1.2929987477902588e-05,1.2929987477902588e-05,4351.0,46000010.0,531.6606693216524,Other,OTH,0.0,0.0,Regional Power
Canada,6800002.0,0.0,1425.0,351.0,351,0,16681770430.0,202080.0,0.0,41000000000.0,0.0,2337375700000.0,351,13500595348.0,117551000000.0,12.0,0.0,351,22110000.0,9984670.0,716.0,0.0,187686000000.0,2454000.0,5692000.0,284.0,170300000000.0,2238000000000.0,4942.0,2700001.0,1042300.0,351.0,0,8893.0,33,4.0,6,351,351,73.0,38794813.0,0,351,351,636.0,4.972398759156295,0.0,9.047601053068588e-06,0.0,9.047601053068588e-06,0.0,9.047601053068588e-06,8.506291588355083e-07,1.546598470610015e-07,9.047601053068588e-06,9.047601053068588e-06,9.047601053068588e-06,9.047601053068588e-06,2500.0,9500003.0,1056.842288250177,North America,CAN,56.1304,-106.3468,Regional Power
Argentina,10800002.0,0.0,756.0,239.0,239,0,20677529440.0,4989.0,6.0,928897000.0,3.0,178940000000.0,239,17575900374.0,23081000000.0,0.0,0.0,239,21906000.0,2780400.0,201.0,0.0,43280000000.0,706000.0,807000.0,37.0,2483000000.0,1235000000000.0,17866.0,0.0,281290.0,239.0,55,11968.0,13,2.0,2,239,239,44.0,46994384.0,172,239,239,11000.0,1.812417103147104,0.0,5.08571396348734e-06,0.0,5.08571396348734e-06,0.0,5.08571396348734e-06,2.7662879299303524e-07,4.255827584508234e-08,5.08571396348734e-06,5.08571396348734e-06,5.08571396348734e-06,5.08571396348734e-06,1690.0,10800002.0,19.766127378834728,Other,OTH,0.0,0.0,Regional Power
Greece,14270014.0,0.0,81.0,558.0,558,29,4916713470.0,13676.0,0.0,6500000000.0,0.0,550000000000.0,558,3985676381.0,13608000000.0,13.0,0.0,558,4645000.0,131957.0,1215.0,7.0,3284000.0,303000.0,5000.0,57.0,10000000.0,375780000000.0,2345.0,22135021.0,117000.0,558.0,589,1110.0,8,10.0,0,558,558,192.0,10461091.0,698,558,558,6.0,1.9644116396739773,0.0,5.334051167889548e-05,2.772177130265177e-06,5.334051167889548e-05,0.0,5.334051167889548e-05,7.647385186938419e-07,0.0,5.334051167889548e-05,5.334051167889548e-05,5.334051167889548e-05,5.334051167889548e-05,3953.0,36405035.0,621.3500464387465,Other,OTH,0.0,0.0,Regional Power
North Korea,132000050.0,0.0,83.0,861.0,861,20,9467520360.0,2495.0,4.0,4736000000.0,0.0,5500000000.0,861,5312331202.0,5500000000.0,2.0,0.0,861,15837000.0,120538.0,264.0,1.0,0.0,17000.0,0.0,10.0,0.0,72000000000.0,7435.0,56000021.0,25554.0,861.0,1300,1607.0,0,13.0,0,861,861,207.0,26298666.0,700,861,861,2250.0,2.481723609059686,0.0,3.273930195777604e-05,7.60494818995959e-07,3.273930195777604e-05,0.0,3.273930195777604e-05,0.0,0.0,3.273930195777604e-05,3.273930195777604e-05,3.273930195777604e-05,3.273930195777604e-05,6060.0,188000071.0,180.08517313824308,Other,OTH,0.0,0.0,Regional Power
